alumniId,name,normalizedName,description,source,clusterId,embedding
alumni-9ba0abad0aaa,A.M. Hendropriyono,a.m. hendropriyono,,https://github.com/burhansa25/graph,,
alumni-b50ef5d900fa,Aang Hamid Suganda,aang hamid suganda,,https://github.com/burhansa25/graph,,
alumni-d118d7c689ee,Abcandra Muhammad Akbar Supratman,abcandra muhammad akbar supratman,,https://github.com/burhansa25/graph,,
alumni-54715d61fe49,Abdul Halim Iskandar,abdul halim iskandar,,https://github.com/burhansa25/graph,,
alumni-a8c1d7fa5e76,Abdul Kadir Jailani,abdul kadir jailani,,https://github.com/burhansa25/graph,,
alumni-e490345eba22,Abdul Kadir Jailani,abdul kadir jailani,,https://github.com/burhansa25/graph,,
alumni-13aa940bbe83,Abdul Mu'ti,abdul mu'ti,,https://github.com/burhansa25/graph,,
alumni-7e922764d4d1,Abdul Mu'ti,abdul mu'ti,,https://github.com/burhansa25/graph,,
alumni-1490d2bdf64f,Abdul Wahab Dalimunthe,abdul wahab dalimunthe,,https://github.com/burhansa25/graph,,
alumni-8a8e94397a93,Abdul Wahid (politician),abdul wahid (politician),,https://github.com/burhansa25/graph,,
alumni-d00d5a7c4bfc,Abdullah Azwar Anas,abdullah azwar anas,,https://github.com/burhansa25/graph,,
alumni-f15d6e3d8964,Abdullah Gymnastiar,abdullah gymnastiar,,https://github.com/burhansa25/graph,,
alumni-882fddb5e01a,Abdullah Mahmud Hendropriyono,abdullah mahmud hendropriyono,,https://github.com/burhansa25/graph,,
alumni-3d88ec4ed6f4,Abel Pires da Silva,abel pires da silva,,https://github.com/burhansa25/graph,,
alumni-827c5e85cc13,Abraham Samad,abraham samad,,https://github.com/burhansa25/graph,,
alumni-4741ecd91b8c,Aburizal Bakrie,aburizal bakrie,,https://github.com/burhansa25/graph,,
alumni-1e5bec94c415,Ace Hasan Syadzily,ace hasan syadzily,,https://github.com/burhansa25/graph,,
alumni-75ee6316de59,Ace Hasan Syadzily,ace hasan syadzily,,https://github.com/burhansa25/graph,,
alumni-ef9cbc0c5362,Ace Hasan Syadzily,ace hasan syadzily,,https://github.com/burhansa25/graph,,
alumni-530855e97407,Achir Yani Hamid,achir yani hamid,,https://github.com/burhansa25/graph,,
alumni-dc921b4e500c,Achjani Atmakusuma,achjani atmakusuma,,https://github.com/burhansa25/graph,,
alumni-71ac2312e3e6,Achmad Hulaefi,achmad hulaefi,,https://github.com/burhansa25/graph,,
alumni-64fe55cac24c,Achmad Mubarok,achmad mubarok,,https://github.com/burhansa25/graph,,
alumni-707520da7f68,Achmad Yurianto,achmad yurianto,,https://github.com/burhansa25/graph,,
alumni-3e3a64de8ea2,Achmad Zaky,achmad zaky,,https://github.com/burhansa25/graph,,
alumni-ac858a6b6f5e,Adalgisa Ximenes,adalgisa ximenes,,https://github.com/burhansa25/graph,,
alumni-00a4de90ddae,Adam Rahayaan,adam rahayaan,,https://github.com/burhansa25/graph,,
alumni-3542d9dc80be,Adang Surahman,adang surahman,,https://github.com/burhansa25/graph,,
alumni-746e540e62b2,Adhyaksa Dault,adhyaksa dault,,https://github.com/burhansa25/graph,,
alumni-d4a0cec46a9c,Adhyaksa Dault,adhyaksa dault,,https://github.com/burhansa25/graph,,
alumni-967d6b70ebf0,Adi Darma,adi darma,,https://github.com/burhansa25/graph,,
alumni-c41f15068d7b,Adi Utarini,adi utarini,,https://github.com/burhansa25/graph,,
alumni-7c261c6e1d40,Adrianus Mooy,adrianus mooy,,https://github.com/burhansa25/graph,,
alumni-0803dcaa1add,Afdhal Khalilullah,afdhal khalilullah,,https://github.com/burhansa25/graph,,
alumni-1044c2227a7f,Agni Pratistha,agni pratistha,,https://github.com/burhansa25/graph,,
alumni-95edb628aee3,Agum Gumelar,agum gumelar,,https://github.com/burhansa25/graph,,
alumni-d46922f146a1,Agung Afif,agung afif,,https://github.com/burhansa25/graph,,
alumni-e11958ec3962,Agung Cahaya Sumirat,agung cahaya sumirat,,https://github.com/burhansa25/graph,,
alumni-39ee0c8c42e5,Agung Laksono,agung laksono,,https://github.com/burhansa25/graph,,
alumni-8fc6f4c23b89,Agus Hermanto,agus hermanto,,https://github.com/burhansa25/graph,,
alumni-80e1a2910d83,Agus Isrok Mikroj,agus isrok mikroj,,https://github.com/burhansa25/graph,,
alumni-5a166138daa0,Agus Subiyanto,agus subiyanto,,https://github.com/burhansa25/graph,,
alumni-c5f05b6d63c0,Agus Suhartono,agus suhartono,,https://github.com/burhansa25/graph,,
alumni-1db36566fcbf,Ahmad Ali (Indonesian politician),ahmad ali (indonesian politician),,https://github.com/burhansa25/graph,,
alumni-389e461e2b5e,Ahmad Syaikhu,ahmad syaikhu,,https://github.com/burhansa25/graph,,
alumni-ca8c4caeb4e8,Ahmad Syaikhu,ahmad syaikhu,,https://en.wikipedia.org/wiki/Ahmad_Syaikhu,,
alumni-fdc83d3ffb32,Ahmad Taufik,ahmad taufik,,https://github.com/burhansa25/graph,,
alumni-221807c147a8,Ahmad Wahib,ahmad wahib,,https://github.com/burhansa25/graph,,
alumni-e8a21fe34b18,Airin Rachmi Diany,airin rachmi diany,,https://github.com/burhansa25/graph,,
alumni-c2a6a512739c,Akhmaloka,akhmaloka,,https://github.com/burhansa25/graph,,
alumni-3bbbed602386,Albert Hasibuan,albert hasibuan,,https://github.com/burhansa25/graph,,
alumni-eca7029bca94,Albert Hasibuan,albert hasibuan,,https://github.com/burhansa25/graph,,
alumni-e6674530e4f3,Alessandra Usman,alessandra usman,,https://github.com/burhansa25/graph,,
alumni-98c3872ad4f4,Ali Alwi,ali alwi,,https://github.com/burhansa25/graph,,
alumni-25e2467e2206,Ali Baal Masdar,ali baal masdar,,https://github.com/burhansa25/graph,,
alumni-9a45321c8f6f,Ali Basrah,ali basrah,,https://github.com/burhansa25/graph,,
alumni-34343ab2816f,Ali Shahab,ali shahab,,https://github.com/burhansa25/graph,,
alumni-8d11dcfe7d4c,Ali Taher,ali taher,,https://github.com/burhansa25/graph,,
alumni-4be42a0b6adb,Alvin Lie,alvin lie,,https://github.com/burhansa25/graph,,
alumni-356b83fb34d5,Alya Rohali,alya rohali,,https://github.com/burhansa25/graph,,
alumni-27675cd05ce1,Amany Lubis,amany lubis,,https://github.com/burhansa25/graph,,
alumni-81394c265ea2,Amarulla Octavian,amarulla octavian,,https://github.com/burhansa25/graph,,
alumni-97a3ef13ce10,Amin Syam,amin syam,,https://github.com/burhansa25/graph,,
alumni-a075508ceb4d,Amir Hamzah,amir hamzah,,https://github.com/burhansa25/graph,,
alumni-6973bc228282,Amir Machmud,amir machmud,,https://github.com/burhansa25/graph,,
alumni-73ead9d246cd,Amran Sulaiman,amran sulaiman,,https://github.com/burhansa25/graph,,
alumni-a90ee5bebe95,Amru Daulay,amru daulay,,https://github.com/burhansa25/graph,,
alumni-c7d0ebc0cc7d,Anang Iskandar,anang iskandar,,https://en.wikipedia.org/wiki/Anang_Iskandar,,
alumni-de62e7319cb0,Andhika Chrisnayudhanto,andhika chrisnayudhanto,,https://github.com/burhansa25/graph,,
alumni-070fccccad1d,Andi Harun,andi harun,,https://github.com/burhansa25/graph,,
alumni-11a7246d6f94,Andi Rasdiyanah Amir,andi rasdiyanah amir,,https://github.com/burhansa25/graph,,
alumni-6359e438b046,Andi Sumangerukka,andi sumangerukka,,https://github.com/burhansa25/graph,,
alumni-441421be210d,Andi Tenri Natassa,andi tenri natassa,,https://github.com/burhansa25/graph,,
alumni-7929bf36dfb1,Andreano Erwin,andreano erwin,,https://github.com/burhansa25/graph,,
alumni-27e5e7188911,Anindya Kusuma Putri,anindya kusuma putri,,https://github.com/burhansa25/graph,,
alumni-b97405dc7019,Anita Lidya Luhulima,anita lidya luhulima,,https://github.com/burhansa25/graph,,
alumni-f1c0d8562c5a,Ansar Ahmad (Indonesian politician),ansar ahmad (indonesian politician),,https://github.com/burhansa25/graph,,
alumni-a3b7a0a3e1b7,Antasari Azhar,antasari azhar,,https://github.com/burhansa25/graph,,
alumni-221066e00cde,Apolo Safanpo,apolo safanpo,,https://github.com/burhansa25/graph,,
alumni-4b4407c3e291,Apolo Safanpo,apolo safanpo,,https://github.com/burhansa25/graph,,
alumni-acca4a06e3e2,Apolo Safanpo,apolo safanpo,,https://github.com/burhansa25/graph,,
alumni-77df7da3a911,Apridar,apridar,,https://github.com/burhansa25/graph,,
alumni-3b5bc4345882,Arcandra Tahar,arcandra tahar,,https://github.com/burhansa25/graph,,
alumni-4076e955ac3a,Ardi Hermawan,ardi hermawan,,https://github.com/burhansa25/graph,,
alumni-5038bcac7dd7,Ari Kuncoro,ari kuncoro,,https://en.wikipedia.org/wiki/Ari_Kuncoro,,
alumni-10df1ff63523,Ari Lasso,ari lasso,,https://github.com/burhansa25/graph,,
alumni-48e376370d94,Arief Hidayat,arief hidayat,,https://github.com/burhansa25/graph,,
alumni-8d4c9f1fbf30,Arief Hidayat,arief hidayat,,https://en.wikipedia.org/wiki/Arief_Hidayat,,
alumni-9dc05e4b4fb6,Arief Hidayat,arief hidayat,,https://en.wikipedia.org/wiki/Arief_Hidayat,,
alumni-7a9205071f43,Arief Hidayat (diplomat),arief hidayat (diplomat),,https://github.com/burhansa25/graph,,
alumni-930998385c3b,Arief Rachadiono Wismansyah,arief rachadiono wismansyah,,https://github.com/burhansa25/graph,,
alumni-e1760f31d147,Arief Rachadiono Wismansyah,arief rachadiono wismansyah,,https://github.com/burhansa25/graph,,
alumni-f79ff110ab92,Arief Yahya,arief yahya,,https://github.com/burhansa25/graph,,
alumni-dfcd33f765f4,Arif Budimanta,arif budimanta,,https://github.com/burhansa25/graph,,
alumni-89541d80f8fc,Arifin Tasrif,arifin tasrif,,https://github.com/burhansa25/graph,,
alumni-062abb5e7854,Arinal Djunaidi,arinal djunaidi,,https://github.com/burhansa25/graph,,
alumni-2d1b22018539,Arinal Djunaidi,arinal djunaidi,,https://github.com/burhansa25/graph,,
alumni-ef279d023d77,Arinal Djunaidi,arinal djunaidi,,https://github.com/burhansa25/graph,,
alumni-5f30c9b840b5,Arsyadjuliandi Rachman,arsyadjuliandi rachman,,https://github.com/burhansa25/graph,,
alumni-6d53df8bdcd7,Arteria Dahlan,arteria dahlan,,https://github.com/burhansa25/graph,,
alumni-30779f3c2dea,Artika Sari Devi,artika sari devi,,https://github.com/burhansa25/graph,,
alumni-021d5d751dd0,Ary Egahni Ben Bahat,ary egahni ben bahat,,https://github.com/burhansa25/graph,,
alumni-1be3396d3afa,Ary Egahni Ben Bahat,ary egahni ben bahat,,https://github.com/burhansa25/graph,,
alumni-ca365abadf6f,Asep Kambali,asep kambali,,https://github.com/burhansa25/graph,,
alumni-15b5e727e80f,Aswanto,aswanto,,https://github.com/burhansa25/graph,,
alumni-81862e9a5dff,Aswanto,aswanto,,https://github.com/burhansa25/graph,,
alumni-a67e0e7a0858,Aswanto,aswanto,,https://github.com/burhansa25/graph,,
alumni-573f3614e4bb,Asyifa Latief,asyifa latief,,https://github.com/burhansa25/graph,,
alumni-94e5f6b85aa6,Awang Faroek Ishak,awang faroek ishak,,https://github.com/burhansa25/graph,,
alumni-855437aee287,Ayang Utriza Yakin,ayang utriza yakin,,https://github.com/burhansa25/graph,,
alumni-e2061c074d23,Ayu Diandra Sari,ayu diandra sari,,https://github.com/burhansa25/graph,,
alumni-7bc5e33dd0ad,Ayu Maulida,ayu maulida,,https://github.com/burhansa25/graph,,
alumni-7219889d1bbd,Ayu Purwarianti,ayu purwarianti,,https://github.com/burhansa25/graph,,
alumni-d00b8df441fd,Ayu Saraswati,ayu saraswati,,https://github.com/burhansa25/graph,,
alumni-e13357824b1f,Azis Syamsuddin,azis syamsuddin,,https://github.com/burhansa25/graph,,
alumni-c5efc3477d07,Azriana Manalu,azriana manalu,,https://github.com/burhansa25/graph,,
alumni-34f4d2216bc6,Azwar Abubakar,azwar abubakar,,https://github.com/burhansa25/graph,,
alumni-b301c38aff73,Azwar Abubakar,azwar abubakar,,https://github.com/burhansa25/graph,,
alumni-efe36937ad63,Azwar Anas,azwar anas,,https://github.com/burhansa25/graph,,
alumni-04623bbef7f7,Azyumardi Azra,azyumardi azra,,https://en.wikipedia.org/wiki/Azyumardi_Azra,,
alumni-629d9b3dbfd3,Azyumardi Azra,azyumardi azra,,https://github.com/burhansa25/graph,,
alumni-ad2011d225af,Bachtiar Aly,bachtiar aly,,https://en.wikipedia.org/wiki/Bachtiar_Aly,,
alumni-0728fbf218aa,Bagus Alit Sucipta,bagus alit sucipta,,https://github.com/burhansa25/graph,,
alumni-b9fabf0a15be,Bambang Brodjonegoro,bambang brodjonegoro,,https://en.wikipedia.org/wiki/Bambang_Brodjonegoro,,
alumni-8ea44258ce09,Bambang Harymurti,bambang harymurti,,https://github.com/burhansa25/graph,,
alumni-16f3062fc593,Bambang Kesowo,bambang kesowo,,https://github.com/burhansa25/graph,,
alumni-9683c2cfed4a,Bambang Subianto,bambang subianto,,https://github.com/burhansa25/graph,,
alumni-8ad8745d8d98,Bambang Sudibyo,bambang sudibyo,,https://github.com/burhansa25/graph,,
alumni-df2303ca84dd,Bambang Suharto,bambang suharto,,https://github.com/burhansa25/graph,,
alumni-7797a354c1a6,Bambang Suryadi,bambang suryadi,,https://github.com/burhansa25/graph,,
alumni-7f48c932c583,Bambang Suryadi,bambang suryadi,,https://github.com/burhansa25/graph,,
alumni-f25e91de9b33,Bambang Suryadi,bambang suryadi,,https://github.com/burhansa25/graph,,
alumni-948af3aa4460,Bambang Susantono,bambang susantono,,https://github.com/burhansa25/graph,,
alumni-48b89dad4270,Bashar Jaafari,bashar jaafari,,https://github.com/burhansa25/graph,,
alumni-b72c8c9b9a9c,Basuki Hadimuljono,basuki hadimuljono,,https://github.com/burhansa25/graph,,
alumni-34e432971627,Ben Mang Reng Say,ben mang reng say,,https://github.com/burhansa25/graph,,
alumni-a9f504dd1688,Benhard Sitohang,benhard sitohang,,https://github.com/burhansa25/graph,,
alumni-5516790fa2c8,Benni Warlis,benni warlis,,https://github.com/burhansa25/graph,,
alumni-99c7ea49c64f,Benny Prawira Siauw,benny prawira siauw,,https://github.com/burhansa25/graph,,
alumni-d20dc8f6cefd,Benny Rhamdani,benny rhamdani,,https://github.com/burhansa25/graph,,
alumni-3440d255ce12,BeritaSatu Media Holdings,beritasatu media holdings,,https://github.com/burhansa25/graph,,
alumni-2c917cab065d,Berlian Helmy,berlian helmy,,https://github.com/burhansa25/graph,,
alumni-c9d97a790d80,Bibit Waluyo,bibit waluyo,,https://github.com/burhansa25/graph,,
alumni-166a96330676,Bima Arya Sugiarto,bima arya sugiarto,,https://en.wikipedia.org/wiki/Bima_Arya_Sugiarto,,
alumni-a9838c80fc33,Bima Arya Sugiarto,bima arya sugiarto,,https://github.com/burhansa25/graph,,
alumni-cdd01e9589d7,Biyanto Rebin,biyanto rebin,,https://github.com/burhansa25/graph,,
alumni-507175501478,Bobby Nasution,bobby nasution,,https://github.com/burhansa25/graph,,
alumni-3d6214293322,Bondan Kanumoyoso,bondan kanumoyoso,,https://github.com/burhansa25/graph,,
alumni-c481ba26db5f,Bonifasius Belawan Geh,bonifasius belawan geh,,https://github.com/burhansa25/graph,,
alumni-0a9188856cce,Bonnie Triyana,bonnie triyana,,https://github.com/burhansa25/graph,,
alumni-31a551aea30b,Brian Yuliarto,brian yuliarto,,https://github.com/burhansa25/graph,,
alumni-825583fbd36c,Brigida Antónia Correia,brigida antónia correia,,https://github.com/burhansa25/graph,,
alumni-e358079fbd96,Budi Karya Sumadi,budi karya sumadi,,https://github.com/burhansa25/graph,,
alumni-e78432095b66,Budi Rahardjo,budi rahardjo,,https://github.com/burhansa25/graph,,
alumni-b7c33f1a4a88,Budiharjo Sukmadi,budiharjo sukmadi,,https://github.com/burhansa25/graph,,
alumni-e3288d9098da,Budiman Sudjatmiko,budiman sudjatmiko,,https://github.com/burhansa25/graph,,
alumni-cd63e37dc06d,Bunga Jelitha,bunga jelitha,,https://github.com/burhansa25/graph,,
alumni-5e3a66c38ce3,Bunyamin Ramto,bunyamin ramto,,https://github.com/burhansa25/graph,,
alumni-4d20bd81006f,Burhanuddin Harahap,burhanuddin harahap,,https://github.com/burhansa25/graph,,
alumni-74efe376407a,Busyra Azheri,busyra azheri,,https://github.com/burhansa25/graph,,
