univLabel,alumniLabel,occupationLabel,employerLabel,positionLabel,wiki,alumniId,alumniNormalizedName,universityNormalizedName
Indonesian Military Academy,A.M. Hendropriyono,,,,,alumni-9ba0abad0aaa,a.m. hendropriyono,indonesian military academy
Indonesia University of Education,Aang Hamid Suganda,,,,,alumni-b50ef5d900fa,aang hamid suganda,indonesia university of education
Trisakti University,Abcandra Muhammad Akbar Supratman,,,,,alumni-d118d7c689ee,abcandra muhammad akbar supratman,trisakti university
State University of Malang,Abdul Halim Iskandar,,,,,alumni-54715d61fe49,abdul halim iskandar,state university of malang
Airlangga University,Abdul Kadir Jailani,,,,,alumni-e490345eba22,abdul kadir jailani,airlangga university
University of Jember,Abdul Kadir Jailani,,,,,alumni-a8c1d7fa5e76,abdul kadir jailani,university of jember
Syarif Hidayatullah State Islamic University Jakarta,Abdul Mu'ti,,,,,alumni-7e922764d4d1,abdul mu'ti,syarif hidayatullah state islamic university jakarta
Walisongo State Islamic University,Abdul Mu'ti,,,,,alumni-13aa940bbe83,abdul mu'ti,walisongo state islamic university
University of North Sumatra,Abdul Wahab Dalimunthe,,,,,alumni-1490d2bdf64f,abdul wahab dalimunthe,university of north sumatra
Brawijaya University,Abdul Wahid (politician),,,,,alumni-8a8e94397a93,abdul wahid (politician),brawijaya university
State University of Jakarta,Abdullah Azwar Anas,,,,,alumni-d00d5a7c4bfc,abdullah azwar anas,state university of jakarta
Institut Teknologi Bandung,Abdullah Gymnastiar,,,,,alumni-f15d6e3d8964,abdullah gymnastiar,institut teknologi bandung
Institut Teknologi Bandung,Abdullah Gymnastiar,"Islamic preacher, singer, author, entrepreneur, founder of the Da'arut Tauhiid Pondok Pesantren, Founder of AA GYM",,,,alumni-f15d6e3d8964,abdullah gymnastiar,institut teknologi bandung
Indonesian Military Academy,Abdullah Mahmud Hendropriyono,,,,,alumni-882fddb5e01a,abdullah mahmud hendropriyono,indonesian military academy
Diponegoro University,Abel Pires da Silva,Computer scientist,,9,,alumni-3d88ec4ed6f4,abel pires da silva,diponegoro university
Diponegoro University,Abel Pires da Silva,Computer scientist and politician,,9,,alumni-3d88ec4ed6f4,abel pires da silva,diponegoro university
Hasanuddin University,Abraham Samad,,Corruption Eradication Commission,Chairman,,alumni-827c5e85cc13,abraham samad,hasanuddin university
Institut Teknologi Bandung,Aburizal Bakrie,,,Coordinating Minister for the Economy,,alumni-4741ecd91b8c,aburizal bakrie,institut teknologi bandung
Institut Teknologi Bandung,Aburizal Bakrie,,,Coordinating Minister for People's Welfare,,alumni-4741ecd91b8c,aburizal bakrie,institut teknologi bandung
Institut Teknologi Bandung,Aburizal Bakrie,,Bakrie And Brothers,Chairman,,alumni-4741ecd91b8c,aburizal bakrie,institut teknologi bandung
Institut Teknologi Bandung,Aburizal Bakrie,,Golkar,Leader,,alumni-4741ecd91b8c,aburizal bakrie,institut teknologi bandung
Institut Teknologi Bandung,Aburizal Bakrie,,Indonesian Chamber Of Commerce,President,,alumni-4741ecd91b8c,aburizal bakrie,institut teknologi bandung
Universitas Indonesia,Ace Hasan Syadzily,dosen,Universitas Islam Negeri Syarif Hidayatullah Jakarta,anggota DPR-RI,,alumni-1e5bec94c415,ace hasan syadzily,universitas indonesia
Universitas Indonesia,Ace Hasan Syadzily,politikus,Universitas Islam Negeri Syarif Hidayatullah Jakarta,anggota DPR-RI,,alumni-1e5bec94c415,ace hasan syadzily,universitas indonesia
Universitas Islam Negeri Syarif Hidayatullah Jakarta,Ace Hasan Syadzily,dosen,Universitas Islam Negeri Syarif Hidayatullah Jakarta,anggota DPR-RI,,alumni-ef9cbc0c5362,ace hasan syadzily,universitas islam negeri syarif hidayatullah jakarta
Universitas Islam Negeri Syarif Hidayatullah Jakarta,Ace Hasan Syadzily,politikus,Universitas Islam Negeri Syarif Hidayatullah Jakarta,anggota DPR-RI,,alumni-ef9cbc0c5362,ace hasan syadzily,universitas islam negeri syarif hidayatullah jakarta
Universitas Padjadjaran,Ace Hasan Syadzily,dosen,Universitas Islam Negeri Syarif Hidayatullah Jakarta,anggota DPR-RI,,alumni-75ee6316de59,ace hasan syadzily,universitas padjadjaran
Universitas Padjadjaran,Ace Hasan Syadzily,politikus,Universitas Islam Negeri Syarif Hidayatullah Jakarta,anggota DPR-RI,,alumni-75ee6316de59,ace hasan syadzily,universitas padjadjaran
Universitas Indonesia,Ace Hasan Syadzily,dosen,Universitas Islam Negeri Syarif Hidayatullah Jakarta,anggota Dewan Perwakilan Rakyat Daerah Indonesia,,alumni-1e5bec94c415,ace hasan syadzily,universitas indonesia
Universitas Indonesia,Ace Hasan Syadzily,politikus,Universitas Islam Negeri Syarif Hidayatullah Jakarta,anggota Dewan Perwakilan Rakyat Daerah Indonesia,,alumni-1e5bec94c415,ace hasan syadzily,universitas indonesia
Universitas Islam Negeri Syarif Hidayatullah Jakarta,Ace Hasan Syadzily,dosen,Universitas Islam Negeri Syarif Hidayatullah Jakarta,anggota Dewan Perwakilan Rakyat Daerah Indonesia,,alumni-ef9cbc0c5362,ace hasan syadzily,universitas islam negeri syarif hidayatullah jakarta
Universitas Islam Negeri Syarif Hidayatullah Jakarta,Ace Hasan Syadzily,politikus,Universitas Islam Negeri Syarif Hidayatullah Jakarta,anggota Dewan Perwakilan Rakyat Daerah Indonesia,,alumni-ef9cbc0c5362,ace hasan syadzily,universitas islam negeri syarif hidayatullah jakarta
Universitas Padjadjaran,Ace Hasan Syadzily,dosen,Universitas Islam Negeri Syarif Hidayatullah Jakarta,anggota Dewan Perwakilan Rakyat Daerah Indonesia,,alumni-75ee6316de59,ace hasan syadzily,universitas padjadjaran
Universitas Padjadjaran,Ace Hasan Syadzily,politikus,Universitas Islam Negeri Syarif Hidayatullah Jakarta,anggota Dewan Perwakilan Rakyat Daerah Indonesia,,alumni-75ee6316de59,ace hasan syadzily,universitas padjadjaran
Universitas Indonesia,Achir Yani Hamid,peneliti,Universitas Indonesia,full professor,,alumni-530855e97407,achir yani hamid,universitas indonesia
Universitas Indonesia,Achir Yani Hamid,pegawai negeri sipil,Universitas Indonesia,full professor,,alumni-530855e97407,achir yani hamid,universitas indonesia
IPB University,Achjani Atmakusuma,,,,,alumni-dc921b4e500c,achjani atmakusuma,ipb university
State University of Jakarta,Achmad Hulaefi,,,,,alumni-71ac2312e3e6,achmad hulaefi,state university of jakarta
Syarif Hidayatullah State Islamic University Jakarta,Achmad Mubarok,Professor,,,,alumni-64fe55cac24c,achmad mubarok,syarif hidayatullah state islamic university jakarta
Airlangga University,Achmad Yurianto,,,,,alumni-707520da7f68,achmad yurianto,airlangga university
Institut Teknologi Bandung,Achmad Zaky,List of Internet entrepreneurs,,"CEO, Bukalapak",,alumni-3e3a64de8ea2,achmad zaky,institut teknologi bandung
Institut Teknologi Bandung,Achmad Zaky,,,"CEO, Bukalapak",,alumni-3e3a64de8ea2,achmad zaky,institut teknologi bandung
Institut Teknologi Bandung,Achmad Zaky,Internet entrepreneur,,"CEO, Bukalapak",,alumni-3e3a64de8ea2,achmad zaky,institut teknologi bandung
Institut Teknologi Bandung,Achmad Zaky,investor,,"CEO, Bukalapak",,alumni-3e3a64de8ea2,achmad zaky,institut teknologi bandung
Institut Teknologi Bandung,Achmad Zaky,List of Internet entrepreneurs,,"CEO, Bukalapak (2010–2020)",,alumni-3e3a64de8ea2,achmad zaky,institut teknologi bandung
Institut Teknologi Bandung,Achmad Zaky,,,"CEO, Bukalapak (2010–2020)",,alumni-3e3a64de8ea2,achmad zaky,institut teknologi bandung
Institut Teknologi Bandung,Achmad Zaky,Internet entrepreneur,,"CEO, Bukalapak (2010–2020)",,alumni-3e3a64de8ea2,achmad zaky,institut teknologi bandung
Institut Teknologi Bandung,Achmad Zaky,investor,,"CEO, Bukalapak (2010–2020)",,alumni-3e3a64de8ea2,achmad zaky,institut teknologi bandung
