name,normalizedName,source
Aceh,aceh,https://github.com/burhansa25/graph
Aceh Governance,aceh governance,https://github.com/burhansa25/graph
Aisyiyah,aisyiyah,https://github.com/burhansa25/graph
Andrew Young School of Policy Studies,andrew young school of policy studies,https://github.com/burhansa25/graph
Army Strategic Reserve Command,army strategic reserve command,https://github.com/burhansa25/graph
Asean,asean,https://github.com/burhansa25/graph
Asuransi Jasa Indonesia,asuransi jasa indonesia,https://github.com/burhansa25/graph
Badan Amil Zakat Nasional,badan amil zakat nasional,https://github.com/burhansa25/graph
Badan Gizi Nasional,badan gizi nasional,https://github.com/burhansa25/graph
Badan Intelijen Negara,badan intelijen negara,https://github.com/burhansa25/graph
Badan Koordinasi Penanaman Modal,badan koordinasi penanaman modal,https://github.com/burhansa25/graph
Badan Pengawasan Keuangan dan Pembangunan,badan pengawasan keuangan dan pembangunan,https://github.com/burhansa25/graph
Badminton Association Of Indonesia,badminton association of indonesia,https://github.com/burhansa25/graph
Bakrie And Brothers,bakrie and brothers,https://github.com/burhansa25/graph
Bali Governance,bali governance,https://github.com/burhansa25/graph
Bangli,bangli,https://github.com/burhansa25/graph
Beauty Winners,beauty winners,https://github.com/burhansa25/graph
Bukit Barisan,bukit barisan,https://github.com/burhansa25/graph
Cenderawasih University,cenderawasih university,https://github.com/burhansa25/graph
Chief Of Staff Of The Indonesian Army,chief of staff of the indonesian army,https://github.com/burhansa25/graph
Constitutional Court Of Indonesia,constitutional court of indonesia,https://github.com/burhansa25/graph
Corruption Eradication Commission,corruption eradication commission,https://github.com/burhansa25/graph
Dana Anak-anak Perserikatan Bangsa-Bangsa,dana anak-anak perserikatan bangsa-bangsa,https://github.com/burhansa25/graph
Defense (Indonesia),defense (indonesia),https://github.com/burhansa25/graph
Democratic Party Banten Branch,democratic party banten branch,https://github.com/burhansa25/graph
Dewan Perwakilan Rakyat Daerah Kota Padang,dewan perwakilan rakyat daerah kota padang,https://github.com/burhansa25/graph
Doughty Street Chambers,doughty street chambers,https://github.com/burhansa25/graph
"East Kalimantan, Indonesia Governance","east kalimantan, indonesia governance",https://github.com/burhansa25/graph
"East Kutai, Indonesia","east kutai, indonesia",https://github.com/burhansa25/graph
East Nusa Tenggara Governance,east nusa tenggara governance,https://github.com/burhansa25/graph
East Timor,east timor,https://github.com/burhansa25/graph
Economics,economics,https://github.com/burhansa25/graph
Energy And Mineral Resources,energy and mineral resources,https://github.com/burhansa25/graph
Environment Of Indonesia,environment of indonesia,https://github.com/burhansa25/graph
Fakultas Ekonomi dan Bisnis Universitas Indonesia,fakultas ekonomi dan bisnis universitas indonesia,https://github.com/burhansa25/graph
Football Association Of Indonesia,football association of indonesia,https://github.com/burhansa25/graph
Foreign Affairs,foreign affairs,https://github.com/burhansa25/graph
Foreign Affairs (Indonesia),foreign affairs (indonesia),https://github.com/burhansa25/graph
foreign affairs ministry,foreign affairs ministry,https://github.com/burhansa25/graph
General Staff Of The Indonesian National Armed Forces,general staff of the indonesian national armed forces,https://github.com/burhansa25/graph
Gerindra Party,gerindra party,https://github.com/burhansa25/graph
Global Digital Niaga,global digital niaga,https://github.com/burhansa25/graph
Goethe-Institut Jakarta,goethe-institut jakarta,https://github.com/burhansa25/graph
Golkar,golkar,https://github.com/burhansa25/graph
Gorontalo Governance,gorontalo governance,https://github.com/burhansa25/graph
Goto,goto,https://github.com/burhansa25/graph
Group Of 20,group of 20,https://github.com/burhansa25/graph
Grup Bank Dunia,grup bank dunia,https://github.com/burhansa25/graph
Haburas,haburas,https://github.com/burhansa25/graph
Health,health,https://github.com/burhansa25/graph
"Higher Education, Science And Technology","higher education, science and technology",https://github.com/burhansa25/graph
"Higher Education, Science, And Technology","higher education, science, and technology",https://github.com/burhansa25/graph
Hizbullah (Indonesia),hizbullah (indonesia),https://github.com/burhansa25/graph
Home Affairs (Indonesia),home affairs (indonesia),https://github.com/burhansa25/graph
House Of Representatives (Indonesia),house of representatives (indonesia),https://github.com/burhansa25/graph
Indofood,indofood,https://github.com/burhansa25/graph
Indonesia,indonesia,https://github.com/burhansa25/graph
Indonesia People'S Consultative Assembly,indonesia people's consultative assembly,https://github.com/burhansa25/graph
Indonesia Regional Representative Council,indonesia regional representative council,https://github.com/burhansa25/graph
Indonesia To Australia,indonesia to australia,https://github.com/burhansa25/graph
Indonesia To Belgium,indonesia to belgium,https://github.com/burhansa25/graph
Indonesia To China,indonesia to china,https://github.com/burhansa25/graph
Indonesia To Singapore,indonesia to singapore,https://github.com/burhansa25/graph
Indonesia To The Netherlands,indonesia to the netherlands,https://github.com/burhansa25/graph
Indonesia To The United Kingdom,indonesia to the united kingdom,https://github.com/burhansa25/graph
Indonesia To The United States,indonesia to the united states,https://github.com/burhansa25/graph
Indonesian Armed Forces,indonesian armed forces,https://github.com/burhansa25/graph
Indonesian Army,indonesian army,https://github.com/burhansa25/graph
Indonesian Chamber Of Commerce,indonesian chamber of commerce,https://github.com/burhansa25/graph
Indonesian Democratic Party Of Struggle,indonesian democratic party of struggle,https://github.com/burhansa25/graph
Indonesian Football Association,indonesian football association,https://github.com/burhansa25/graph
Indonesian Justice And Unity Party,indonesian justice and unity party,https://github.com/burhansa25/graph
Indonesian National Armed Forces,indonesian national armed forces,https://github.com/burhansa25/graph
Indonesian National Armed Forces Staff And Command School,indonesian national armed forces staff and command school,https://github.com/burhansa25/graph
Infantry Division 1,infantry division 1,https://github.com/burhansa25/graph
Institut Sains dan Teknologi Nasional,institut sains dan teknologi nasional,https://github.com/burhansa25/graph
Institut Teknologi Bandung,institut teknologi bandung,https://github.com/burhansa25/graph
Institut Teknologi Tangerang Selatan,institut teknologi tangerang selatan,https://github.com/burhansa25/graph
Jakarta Governance,jakarta governance,https://github.com/burhansa25/graph
Jayakarta Military Command,jayakarta military command,https://github.com/burhansa25/graph
Juara Holding Group,juara holding group,https://github.com/burhansa25/graph
Jurnal Penelitian,jurnal penelitian,https://github.com/burhansa25/graph
Kabinet Indonesia Bersatu II,kabinet indonesia bersatu ii,https://github.com/burhansa25/graph
Kejaksaan Indonesia,kejaksaan indonesia,https://github.com/burhansa25/graph
Kementerian Dalam Negeri,kementerian dalam negeri,https://github.com/burhansa25/graph
Kementerian Keuangan,kementerian keuangan,https://github.com/burhansa25/graph
Kementerian Komunikasi dan Digital,kementerian komunikasi dan digital,https://github.com/burhansa25/graph
Kementerian Luar Negeri,kementerian luar negeri,https://github.com/burhansa25/graph
Kementerian Pelindungan Pekerja Migran Indonesia,kementerian pelindungan pekerja migran indonesia,https://github.com/burhansa25/graph
Kementerian Pemuda dan Olahraga,kementerian pemuda dan olahraga,https://github.com/burhansa25/graph
Kementerian Riset dan Teknologi Indonesia,kementerian riset dan teknologi indonesia,https://github.com/burhansa25/graph
Kepolisian Negara Republik Indonesia,kepolisian negara republik indonesia,https://github.com/burhansa25/graph
Kodam I,kodam i,https://github.com/burhansa25/graph
Kodam Iskandar Muda,kodam iskandar muda,https://github.com/burhansa25/graph
Komite Ekonomi Nasional,komite ekonomi nasional,https://github.com/burhansa25/graph
Kompas,kompas,https://github.com/burhansa25/graph
Kostrad,kostrad,https://github.com/burhansa25/graph
LBH APIK Aceh,lbh apik aceh,https://github.com/burhansa25/graph
Lebak,lebak,https://github.com/burhansa25/graph
Mahkamah Konstitusi Republik Indonesia,mahkamah konstitusi republik indonesia,https://github.com/burhansa25/graph
