name,normalizedName,source
* Politician,* politician,https://github.com/burhansa25/graph
Academic,academic,https://github.com/burhansa25/graph
Academic staff,academic staff,https://github.com/burhansa25/graph
Academician,academician,https://github.com/burhansa25/graph
Activist,activist,https://github.com/burhansa25/graph
activist,activist,https://github.com/burhansa25/graph
Actor,actor,https://github.com/burhansa25/graph
actor,actor,https://github.com/burhansa25/graph
actress,actress,https://github.com/burhansa25/graph
Actress,actress,https://github.com/burhansa25/graph
Administrasi proyek,administrasi proyek,https://github.com/burhansa25/graph
agricultural scientist,agricultural scientist,https://github.com/burhansa25/graph
agronom,agronom,https://github.com/burhansa25/graph
ahli bahasa,ahli bahasa,https://github.com/burhansa25/graph
ahli biologi,ahli biologi,https://github.com/burhansa25/graph
AIDS activism,aids activism,https://github.com/burhansa25/graph
AIDS activists,aids activists,https://github.com/burhansa25/graph
akademisi,akademisi,https://github.com/burhansa25/graph
aktivis,aktivis,https://github.com/burhansa25/graph
and micro-hydropower inventor,and micro-hydropower inventor,https://github.com/burhansa25/graph
Aparatur Sipil Negara,aparatur sipil negara,https://github.com/burhansa25/graph
architect,architect,https://github.com/burhansa25/graph
Army officer,army officer,https://github.com/burhansa25/graph
army officer,army officer,https://github.com/burhansa25/graph
arsitek,arsitek,https://github.com/burhansa25/graph
Artist,artist,https://github.com/burhansa25/graph
athlete,athlete,https://github.com/burhansa25/graph
Auditor,auditor,https://github.com/burhansa25/graph
Author,author,https://github.com/burhansa25/graph
author,author,https://github.com/burhansa25/graph
Balinese dance,balinese dance,https://github.com/burhansa25/graph
Balinese dancer,balinese dancer,https://github.com/burhansa25/graph
Bank Central Asia,bank central asia,https://github.com/burhansa25/graph
Banker,banker,https://github.com/burhansa25/graph
Barrister,barrister,https://github.com/burhansa25/graph
BCA and Como 1907,bca and como 1907,https://github.com/burhansa25/graph
Beauty pageant,beauty pageant,https://github.com/burhansa25/graph
Beauty Pageant Titleholder,beauty pageant titleholder,https://github.com/burhansa25/graph
Beauty pageant titleholder,beauty pageant titleholder,https://github.com/burhansa25/graph
beauty pageant titleholder,beauty pageant titleholder,https://github.com/burhansa25/graph
Beauty pageant titleholders,beauty pageant titleholders,https://github.com/burhansa25/graph
birokrat,birokrat,https://github.com/burhansa25/graph
book translator,book translator,https://github.com/burhansa25/graph
Broadcast journalism,broadcast journalism,https://github.com/burhansa25/graph
Bureaucrat,bureaucrat,https://github.com/burhansa25/graph
bureaucrat,bureaucrat,https://github.com/burhansa25/graph
businessman,businessman,https://github.com/burhansa25/graph
Businessman,businessman,https://github.com/burhansa25/graph
Businessman and politician,businessman and politician,https://github.com/burhansa25/graph
businessperson,businessperson,https://github.com/burhansa25/graph
Businessperson,businessperson,https://github.com/burhansa25/graph
Cardiologist,cardiologist,https://github.com/burhansa25/graph
career diplomat,career diplomat,https://github.com/burhansa25/graph
cartoonist,cartoonist,https://github.com/burhansa25/graph
Celebrity,celebrity,https://github.com/burhansa25/graph
celebrity,celebrity,https://github.com/burhansa25/graph
Chef,chef,https://github.com/burhansa25/graph
Chemical Engineer,chemical engineer,https://github.com/burhansa25/graph
Civil servant,civil servant,https://github.com/burhansa25/graph
Civil service,civil service,https://github.com/burhansa25/graph
Co-owner of Djarum,co-owner of djarum,https://github.com/burhansa25/graph
columnist,columnist,https://github.com/burhansa25/graph
Comedian,comedian,https://github.com/burhansa25/graph
comedian,comedian,https://github.com/burhansa25/graph
Commercial Model,commercial model,https://github.com/burhansa25/graph
Como 1907,como 1907,https://github.com/burhansa25/graph
Composer,composer,https://github.com/burhansa25/graph
Computer scientist,computer scientist,https://github.com/burhansa25/graph
Computer scientist and politician,computer scientist and politician,https://github.com/burhansa25/graph
constitutional law expert,constitutional law expert,https://github.com/burhansa25/graph
consultant,consultant,https://github.com/burhansa25/graph
Content creator,content creator,https://github.com/burhansa25/graph
COVID-19 Response Acceleration Task Force,covid-19 response acceleration task force,https://github.com/burhansa25/graph
cultural activist.,cultural activist.,https://github.com/burhansa25/graph
Da'i,da'i,https://github.com/burhansa25/graph
da'i,da'i,https://github.com/burhansa25/graph
dai,dai,https://github.com/burhansa25/graph
dancer,dancer,https://github.com/burhansa25/graph
data scientist,data scientist,https://github.com/burhansa25/graph
Dentist,dentist,https://github.com/burhansa25/graph
dentist,dentist,https://github.com/burhansa25/graph
Designer,designer,https://github.com/burhansa25/graph
Diplomat,diplomat,https://github.com/burhansa25/graph
diplomat,diplomat,https://github.com/burhansa25/graph
Diplomat and Businessman,diplomat and businessman,https://github.com/burhansa25/graph
Director,director,https://github.com/burhansa25/graph
Director of Puteri Indonesia,director of puteri indonesia,https://github.com/burhansa25/graph
direktur utama,direktur utama,https://github.com/burhansa25/graph
Djarum,djarum,https://github.com/burhansa25/graph
doctor,doctor,https://github.com/burhansa25/graph
Doctor,doctor,https://github.com/burhansa25/graph
Doctor (title),doctor (title),https://github.com/burhansa25/graph
doctor and politician,doctor and politician,https://github.com/burhansa25/graph
documentary filmmaker,documentary filmmaker,https://github.com/burhansa25/graph
Documentary filmmaker,documentary filmmaker,https://github.com/burhansa25/graph
dokter,dokter,https://github.com/burhansa25/graph
dosen,dosen,https://github.com/burhansa25/graph
Economist,economist,https://github.com/burhansa25/graph
editor,editor,https://github.com/burhansa25/graph
ekonom,ekonom,https://github.com/burhansa25/graph
ekonom pertanian,ekonom pertanian,https://github.com/burhansa25/graph
Emergency physician,emergency physician,https://github.com/burhansa25/graph
Engineer,engineer,https://github.com/burhansa25/graph
engineer,engineer,https://github.com/burhansa25/graph
entomolog,entomolog,https://github.com/burhansa25/graph
entrepreneur,entrepreneur,https://github.com/burhansa25/graph
Entrepreneur and film producer,entrepreneur and film producer,https://github.com/burhansa25/graph
Environmental Scientist,environmental scientist,https://github.com/burhansa25/graph
Epidemiologist,epidemiologist,https://github.com/burhansa25/graph
Executive Director of Indonesian Human Rights Monitor,executive director of indonesian human rights monitor,https://github.com/burhansa25/graph
Fashion designer,fashion designer,https://github.com/burhansa25/graph
Fashion Model,fashion model,https://github.com/burhansa25/graph
fashion model,fashion model,https://github.com/burhansa25/graph
Film director,film director,https://github.com/burhansa25/graph
Film editor,film editor,https://github.com/burhansa25/graph
Film producer,film producer,https://github.com/burhansa25/graph
Financial analyst,financial analyst,https://github.com/burhansa25/graph
Former CEO and president director of Pertamina,former ceo and president director of pertamina,https://github.com/burhansa25/graph
former military officer,former military officer,https://github.com/burhansa25/graph
Founder of AA GYM,founder of aa gym,https://github.com/burhansa25/graph
Founder of Into The Light Indonesia,founder of into the light indonesia,https://github.com/burhansa25/graph
founder of the Da'arut Tauhiid Pondok Pesantren,founder of the da'arut tauhiid pondok pesantren,https://github.com/burhansa25/graph
Government employee,government employee,https://github.com/burhansa25/graph
Gravure idol,gravure idol,https://github.com/burhansa25/graph
Guru,guru,https://github.com/burhansa25/graph
Hakim,hakim,https://github.com/burhansa25/graph
historian,historian,https://github.com/burhansa25/graph
HIV,hiv,https://github.com/burhansa25/graph
Human rights activist,human rights activist,https://github.com/burhansa25/graph
ilmuwan komputer,ilmuwan komputer,https://github.com/burhansa25/graph
Independent researcher,independent researcher,https://github.com/burhansa25/graph
Indonesian Army,indonesian army,https://github.com/burhansa25/graph
Indonesian Minister for Energy and Mineral Resources,indonesian minister for energy and mineral resources,https://github.com/burhansa25/graph
Indonesian People's Consultative Assembly Ambassador,indonesian people's consultative assembly ambassador,https://github.com/burhansa25/graph
insinyur,insinyur,https://github.com/burhansa25/graph
intellectual,intellectual,https://github.com/burhansa25/graph
International human rights law,international human rights law,https://github.com/burhansa25/graph
Internet entrepreneur,internet entrepreneur,https://github.com/burhansa25/graph
interpreter,interpreter,https://github.com/burhansa25/graph
Into The Light Indonesia,into the light indonesia,https://github.com/burhansa25/graph
Inventor,inventor,https://github.com/burhansa25/graph
Investigative journalism,investigative journalism,https://github.com/burhansa25/graph
Investigative journalist,investigative journalist,https://github.com/burhansa25/graph
investor,investor,https://github.com/burhansa25/graph
Islamic preacher,islamic preacher,https://github.com/burhansa25/graph
islamic scholar,islamic scholar,https://github.com/burhansa25/graph
Islamic scholar,islamic scholar,https://github.com/burhansa25/graph
jaksa,jaksa,https://github.com/burhansa25/graph
journalist,journalist,https://github.com/burhansa25/graph
Journalist,journalist,https://github.com/burhansa25/graph
judge,judge,https://github.com/burhansa25/graph
Judge,judge,https://github.com/burhansa25/graph
Jurist,jurist,https://github.com/burhansa25/graph
jurist,jurist,https://github.com/burhansa25/graph
jurnalis,jurnalis,https://github.com/burhansa25/graph
Justice (title),justice (title),https://github.com/burhansa25/graph
kandidat politik,kandidat politik,https://github.com/burhansa25/graph
komisaris,komisaris,https://github.com/burhansa25/graph
Komisaris utama,komisaris utama,https://github.com/burhansa25/graph
Kompas,kompas,https://github.com/burhansa25/graph
lawyer,lawyer,https://github.com/burhansa25/graph
Lawyer,lawyer,https://github.com/burhansa25/graph
Lecturer,lecturer,https://github.com/burhansa25/graph
lecturer,lecturer,https://github.com/burhansa25/graph
legislator,legislator,https://github.com/burhansa25/graph
lektor,lektor,https://github.com/burhansa25/graph
List of HIV,list of hiv,https://github.com/burhansa25/graph
List of Internet entrepreneurs,list of internet entrepreneurs,https://github.com/burhansa25/graph
literature activist,literature activist,https://github.com/burhansa25/graph
Magician,magician,https://github.com/burhansa25/graph
Magician (fantasy),magician (fantasy),https://github.com/burhansa25/graph
managing editor,managing editor,https://github.com/burhansa25/graph
manajer olahraga,manajer olahraga,https://github.com/burhansa25/graph
Martial artist,martial artist,https://github.com/burhansa25/graph
matematikawan,matematikawan,https://github.com/burhansa25/graph
Media activism,media activism,https://github.com/burhansa25/graph
medical practitioner,medical practitioner,https://github.com/burhansa25/graph
Mentalism,mentalism,https://github.com/burhansa25/graph
Menteri keuangan,menteri keuangan,https://github.com/burhansa25/graph
metallurgist,metallurgist,https://github.com/burhansa25/graph
Military,military,https://github.com/burhansa25/graph
Military officer,military officer,https://github.com/burhansa25/graph
Ministry of Environment and Forestry of Indonesia,ministry of environment and forestry of indonesia,https://github.com/burhansa25/graph
Ministry of Tourism (Indonesia),ministry of tourism (indonesia),https://github.com/burhansa25/graph
Ministry of Tourism and Creative Economy,ministry of tourism and creative economy,https://github.com/burhansa25/graph
model,model,https://github.com/burhansa25/graph
Model,model,https://github.com/burhansa25/graph
Model (person),model (person),https://github.com/burhansa25/graph
National Narcotics Board,national narcotics board,https://github.com/burhansa25/graph
National Narcotics Board of the Republic of Indonesia Ambassador,national narcotics board of the republic of indonesia ambassador,https://github.com/burhansa25/graph
Naval Officer,naval officer,https://github.com/burhansa25/graph
Naval officer,naval officer,https://github.com/burhansa25/graph
novelist,novelist,https://github.com/burhansa25/graph
Novelist,novelist,https://github.com/burhansa25/graph
Officer (armed forces),officer (armed forces),https://github.com/burhansa25/graph
painter,painter,https://github.com/burhansa25/graph
Painter,painter,https://github.com/burhansa25/graph
pakar ilmu hukum,pakar ilmu hukum,https://github.com/burhansa25/graph
pebisnis,pebisnis,https://github.com/burhansa25/graph
pegawai negeri sipil,pegawai negeri sipil,https://github.com/burhansa25/graph
pejabat pemerintahan,pejabat pemerintahan,https://github.com/burhansa25/graph
pejabat polisi,pejabat polisi,https://github.com/burhansa25/graph
pembawa acara,pembawa acara,https://github.com/burhansa25/graph
pemeran,pemeran,https://github.com/burhansa25/graph
peneliti,peneliti,https://github.com/burhansa25/graph
pengacara,pengacara,https://github.com/burhansa25/graph
pengurus akademik,pengurus akademik,https://github.com/burhansa25/graph
pengusaha,pengusaha,https://github.com/burhansa25/graph
penulis,penulis,https://github.com/burhansa25/graph
People's Consultative Assembly,people's consultative assembly,https://github.com/burhansa25/graph
Pertamina,pertamina,https://github.com/burhansa25/graph
petugas polisi,petugas polisi,https://github.com/burhansa25/graph
Philanthropist,philanthropist,https://github.com/burhansa25/graph
philanthropist,philanthropist,https://github.com/burhansa25/graph
philologist,philologist,https://github.com/burhansa25/graph
Philologist,philologist,https://github.com/burhansa25/graph
Physician,physician,https://github.com/burhansa25/graph
Physician and politician,physician and politician,https://github.com/burhansa25/graph
Poet,poet,https://github.com/burhansa25/graph
poet,poet,https://github.com/burhansa25/graph
Political activist,political activist,https://github.com/burhansa25/graph
political activist,political activist,https://github.com/burhansa25/graph
Politican,politican,https://github.com/burhansa25/graph
politican,politican,https://github.com/burhansa25/graph
politician,politician,https://github.com/burhansa25/graph
Politician,politician,https://github.com/burhansa25/graph
Politics of Indonesia,politics of indonesia,https://github.com/burhansa25/graph
politikus,politikus,https://github.com/burhansa25/graph
presenter,presenter,https://github.com/burhansa25/graph
Presenter,presenter,https://github.com/burhansa25/graph
President director and founder of kompas daily,president director and founder of kompas daily,https://github.com/burhansa25/graph
producer,producer,https://github.com/burhansa25/graph
profesor,profesor,https://github.com/burhansa25/graph
Professor,professor,https://github.com/burhansa25/graph
professor of constitutional law,professor of constitutional law,https://github.com/burhansa25/graph
project engineer,project engineer,https://github.com/burhansa25/graph
psikolog,psikolog,https://github.com/burhansa25/graph
Psychiatrist,psychiatrist,https://github.com/burhansa25/graph
Public servant,public servant,https://github.com/burhansa25/graph
Public servant and diplomat,public servant and diplomat,https://github.com/burhansa25/graph
Puteri Indonesia,puteri indonesia,https://github.com/burhansa25/graph
radio broadcaster,radio broadcaster,https://github.com/burhansa25/graph
Radio broadcasting,radio broadcasting,https://github.com/burhansa25/graph
radio personality,radio personality,https://github.com/burhansa25/graph
Radio personality,radio personality,https://github.com/burhansa25/graph
Radio station,radio station,https://github.com/burhansa25/graph
Rapper,rapper,https://github.com/burhansa25/graph
rapper,rapper,https://github.com/burhansa25/graph
Rector (academia),rector (academia),https://github.com/burhansa25/graph
Rector of Syarif Hidayatullah State Islamic University Jakarta,rector of syarif hidayatullah state islamic university jakarta,https://github.com/burhansa25/graph
reporter,reporter,https://github.com/burhansa25/graph
Researcher,researcher,https://github.com/burhansa25/graph
Retired Bureaucrat and Politician,retired bureaucrat and politician,https://github.com/burhansa25/graph
scholar,scholar,https://github.com/burhansa25/graph
Scientist,scientist,https://github.com/burhansa25/graph
screenwriter,screenwriter,https://github.com/burhansa25/graph
Screenwriter,screenwriter,https://github.com/burhansa25/graph
sejarawan,sejarawan,https://github.com/burhansa25/graph
Senator,senator,https://github.com/burhansa25/graph
singer,singer,https://github.com/burhansa25/graph
Singer,singer,https://github.com/burhansa25/graph
social activist,social activist,https://github.com/burhansa25/graph
social entrepreneur,social entrepreneur,https://github.com/burhansa25/graph
Soldier,soldier,https://github.com/burhansa25/graph
songwriter,songwriter,https://github.com/burhansa25/graph
Songwriter,songwriter,https://github.com/burhansa25/graph
sosiolog,sosiolog,https://github.com/burhansa25/graph
stage-designer,stage-designer,https://github.com/burhansa25/graph
Suicidologist,suicidologist,https://github.com/burhansa25/graph
Supermodel,supermodel,https://github.com/burhansa25/graph
Teacher,teacher,https://github.com/burhansa25/graph
Television presenter,television presenter,https://github.com/burhansa25/graph
theater-director,theater-director,https://github.com/burhansa25/graph
theatre actor and director,theatre actor and director,https://github.com/burhansa25/graph
Theatre director,theatre director,https://github.com/burhansa25/graph
Theologian,theologian,https://github.com/burhansa25/graph
translator,translator,https://github.com/burhansa25/graph
TV Commercial model,tv commercial model,https://github.com/burhansa25/graph
TV Host,tv host,https://github.com/burhansa25/graph
TV Presenter,tv presenter,https://github.com/burhansa25/graph
TV presenter,tv presenter,https://github.com/burhansa25/graph
Ulama,ulama,https://github.com/burhansa25/graph
ulama,ulama,https://github.com/burhansa25/graph
Veterinarian,veterinarian,https://github.com/burhansa25/graph
Wikimedian,wikimedian,https://github.com/burhansa25/graph
Wikimediawan,wikimediawan,https://github.com/burhansa25/graph
Writer,writer,https://github.com/burhansa25/graph
writer,writer,https://github.com/burhansa25/graph
YouTuber,youtuber,https://github.com/burhansa25/graph
