name,normalizedName,source
(Best National Costume),(best national costume),https://github.com/burhansa25/graph
(Miss Beauty with Voice),(miss beauty with voice),https://github.com/burhansa25/graph
(Puteri Indonesia Lingkungan),(puteri indonesia lingkungan),https://github.com/burhansa25/graph
(Puteri Indonesia Pariwisata),(puteri indonesia pariwisata),https://github.com/burhansa25/graph
*Miss Earth Indonesia 2021,*miss earth indonesia 2021,https://github.com/burhansa25/graph
17,17,https://github.com/burhansa25/graph
2,2,https://github.com/burhansa25/graph
2011,2011,https://github.com/burhansa25/graph
2011 Puteri Indonesia Sumatera Utara,2011 puteri indonesia sumatera utara,https://github.com/burhansa25/graph
23,23,https://github.com/burhansa25/graph
3,3,https://github.com/burhansa25/graph
3rd Runner Up Puteri Indonesia 2011,3rd runner up puteri indonesia 2011,https://github.com/burhansa25/graph
6,6,https://github.com/burhansa25/graph
9,9,https://github.com/burhansa25/graph
Advisors to the office,advisors to the office,https://github.com/burhansa25/graph
Ambassador,ambassador,https://github.com/burhansa25/graph
An account,an account,https://github.com/burhansa25/graph
anggota Dewan Perwakilan Rakyat Daerah Indonesia,anggota dewan perwakilan rakyat daerah indonesia,https://github.com/burhansa25/graph
anggota DPD-RI,anggota dpd-ri,https://github.com/burhansa25/graph
anggota DPR-RI,anggota dpr-ri,https://github.com/burhansa25/graph
Articles related to Joko Widodo,articles related to joko widodo,https://github.com/burhansa25/graph
Articles related to Prabowo Subianto,articles related to prabowo subianto,https://github.com/burhansa25/graph
asisten ahli,asisten ahli,https://github.com/burhansa25/graph
Assistant for planning and budget,assistant for planning and budget,https://github.com/burhansa25/graph
Bangli regency regional house,bangli regency regional house,https://github.com/burhansa25/graph
Bank Indonesia,bank indonesia,https://github.com/burhansa25/graph
Beauty with a Purpose,beauty with a purpose,https://github.com/burhansa25/graph
Bruna Zanardo,bruna zanardo,https://github.com/burhansa25/graph
Bupati Ciamis,bupati ciamis,https://github.com/burhansa25/graph
"CEO, Bukalapak","ceo, bukalapak",https://github.com/burhansa25/graph
"CEO, Bukalapak (2010–2020)","ceo, bukalapak (2010–2020)",https://github.com/burhansa25/graph
Chair,chair,https://github.com/burhansa25/graph
Chairman,chairman,https://github.com/burhansa25/graph
Chairman ad interim Indonesian Football Association,chairman ad interim indonesian football association,https://github.com/burhansa25/graph
Chairman and ceo,chairman and ceo,https://github.com/burhansa25/graph
Chairperson,chairperson,https://github.com/burhansa25/graph
Chief,chief,https://github.com/burhansa25/graph
Chief justice,chief justice,https://github.com/burhansa25/graph
Co-chairman,co-chairman,https://github.com/burhansa25/graph
Co-Chairman ofGoTo,co-chairman ofgoto,https://github.com/burhansa25/graph
Commander,commander,https://github.com/burhansa25/graph
Coordinating Minister for Human Development and Cultural Affairs,coordinating minister for human development and cultural affairs,https://github.com/burhansa25/graph
Coordinating Minister for People's Welfare,coordinating minister for people's welfare,https://github.com/burhansa25/graph
Coordinating Minister for the Economy,coordinating minister for the economy,https://github.com/burhansa25/graph
Coordinating Ministry for Human Development and Cultural Affairs,coordinating ministry for human development and cultural affairs,https://github.com/burhansa25/graph
Coordinating Ministry for Political and Security Affairs,coordinating ministry for political and security affairs,https://github.com/burhansa25/graph
Daftar Ketua Mahkamah Konstitusi Indonesia,daftar ketua mahkamah konstitusi indonesia,https://github.com/burhansa25/graph
Daftar rektor,daftar rektor,https://github.com/burhansa25/graph
Daftar Rektor Universitas Pendidikan Indonesia,daftar rektor universitas pendidikan indonesia,https://github.com/burhansa25/graph
Daftar Wakil Gubernur Sumatera Barat,daftar wakil gubernur sumatera barat,https://github.com/burhansa25/graph
