alumniId,employerName
alumni-006856c9ad60,Institut Teknologi Bandung
alumni-021d5d751dd0,Sekolah Tinggi Ilmu Hukum Tambun Bungai
alumni-041729be581d,Kementerian Pemuda dan Olahraga
alumni-04623bbef7f7,Universitas Islam Negeri Syarif Hidayatullah Jakarta
alumni-04b0cfbdd58a,Indonesian National Armed Forces
alumni-04b0cfbdd58a,Staff Of The Indonesian Navy
alumni-04b15a7198a3,Indonesia
alumni-04b15a7198a3,People'S Consultative Assembly
alumni-051aa9fcab32,Universitas Negeri Padang
alumni-053b8c5fc8b1,Universitas Indonesia
alumni-055afc9614d2,Cenderawasih University
alumni-05a4239b905e,Pemerintah Kab. Ciamis
alumni-05cad96ba7bd,Indonesian National Armed Forces
alumni-05cad96ba7bd,Staff Of The Indonesian Army
alumni-06df0f1cc57f,Universitas Indonesia
alumni-06df0f1cc57f,Universitas Padjadjaran
alumni-075bbc6416c5,Kementerian Riset dan Teknologi Indonesia
alumni-075bbc6416c5,Universitas Negeri Yogyakarta
alumni-08d18f2cae64,Institut Teknologi Bandung
alumni-09d94215f57d,Pemerintah Provinsi Jawa Barat
alumni-09fb054c5c34,Bali Governance
alumni-0a2a727070ad,East Nusa Tenggara Governance
alumni-0a9e52cb7436,Indonesia To The Netherlands
alumni-0a9e52cb7436,Indonesia To The United Kingdom
alumni-0bd7552d9237,Bangli
alumni-0bd7552d9237,Representatives
alumni-166a96330676,Kementerian Dalam Negeri
alumni-17b5a331c971,Home Affairs (Indonesia)
alumni-17b5a331c971,National Land Agency
alumni-17b5a331c971,People'S Consultative Assembly
alumni-17e604a607cf,Kementerian Riset dan Teknologi Indonesia
alumni-18223247106a,Universitas Negeri Jakarta
alumni-18e7b47f0a53,Universitas Gadjah Mada
alumni-196ea66f1415,Universitas Syiah Kuala
alumni-199b2d8f27e8,Bali Governance
alumni-19febd99226d,Indonesia People'S Consultative Assembly
alumni-19febd99226d,Prosperous Justice Party
alumni-1a72692aa562,Hizbullah (Indonesia)
alumni-1a72692aa562,Pemerintah Kota Sawahlunto
alumni-1a72692aa562,Pemerintah Provinsi Sumatera Barat
alumni-1b2a1226c18e,Kementerian Luar Negeri
alumni-1be3396d3afa,Sekolah Tinggi Ilmu Hukum Tambun Bungai
alumni-1c4c0db2dcf3,Aisyiyah
alumni-1c6cba41b5cd,Environment Of Indonesia
alumni-1e5bec94c415,Universitas Islam Negeri Syarif Hidayatullah Jakarta
alumni-1f76a7625fdc,Universitas Indonesia
alumni-20a2e6107bf4,Indonesia To Australia
alumni-20a2e6107bf4,Indonesia To China
alumni-2183d001692f,Army Strategic Reserve Command
alumni-2183d001692f,Defense (Indonesia)
alumni-2183d001692f,Staff Of The Indonesian Army
alumni-2346f8828376,Badan Koordinasi Penanaman Modal
alumni-2346f8828376,Komite Ekonomi Nasional
alumni-2346f8828376,Universitas Indonesia
alumni-266cec9f4e4b,Institut Teknologi Bandung
alumni-27675cd05ce1,Syarif Hidayatullah State Islamic University Jakarta
alumni-2af1a9ed18c4,Universitas Negeri Semarang
alumni-2d693af6c63a,Institut Teknologi Bandung
alumni-2dda5bdcd03c,Gorontalo Governance
alumni-2dda5bdcd03c,Maritime Affairs And Fisheries
alumni-32412a2b0068,Cenderawasih University
alumni-327e2af9bbbb,Universitas Udayana
alumni-32a97efea573,Institut Teknologi Bandung
alumni-337b65caa579,Universitas Indonesia
alumni-33b4342db79e,Universitas Indonesia
alumni-33ca3b6f5e38,East Timor
alumni-33ca3b6f5e38,Timor-Leste
alumni-34ae2ae8c386,Jakarta Governance
alumni-34b0eddf0b25,Universitas Indonesia
alumni-34eb14f042b3,Supreme Court Of Indonesia
alumni-34f4d2216bc6,Aceh
alumni-34f4d2216bc6,Aceh Governance
alumni-34f4d2216bc6,State Apparatus Utilization And Bureaucratic Reform
alumni-35235fdb7705,Universitas Andalas
alumni-3542d9dc80be,Institut Teknologi Bandung
alumni-36aa15127964,Institut Teknologi Bandung
alumni-39921bdb5818,Kementerian Riset dan Teknologi Indonesia
alumni-39ee0c8c42e5,House Of Representatives (Indonesia)
alumni-3d6214293322,Universitas Indonesia
alumni-3da2a5e0a7f9,Institut Teknologi Bandung
alumni-3e2f7926dcbf,SIG (Perusahaan)
alumni-3e2f7926dcbf,Semen Padang
alumni-3f093c5677f7,"Higher Education, Science And Technology"
alumni-3f093c5677f7,"Higher Education, Science, And Technology"
alumni-4129f61d238d,Constitutional Court Of Indonesia
alumni-46c45b0d143b,Health
alumni-4741ecd91b8c,Bakrie And Brothers
alumni-4741ecd91b8c,Golkar
alumni-4741ecd91b8c,Indonesian Chamber Of Commerce
alumni-48a10644f79d,Indonesia Regional Representative Council
alumni-48b89dad4270,Syria To The United Nations
alumni-48e376370d94,Constitutional Court Of Indonesia
alumni-491695aafed9,Beauty Winners
alumni-4a1297e6efe4,Universitas Negeri Semarang
