alumniId,occupationName
alumni-006856c9ad60,akademisi
alumni-021d5d751dd0,lektor
alumni-021d5d751dd0,politikus
alumni-022376111982,Politician
alumni-041729be581d,Aparatur Sipil Negara
alumni-041729be581d,pegawai negeri sipil
alumni-04623bbef7f7,dosen
alumni-04623bbef7f7,pegawai negeri sipil
alumni-04623bbef7f7,sejarawan
alumni-04623bbef7f7,ulama
alumni-04b0cfbdd58a,Naval officer
alumni-04b0cfbdd58a,politician
alumni-04b15a7198a3,Politician
alumni-04b15a7198a3,legislator
alumni-051aa9fcab32,dosen
alumni-051aa9fcab32,pegawai negeri sipil
alumni-051aa9fcab32,peneliti
alumni-053b8c5fc8b1,pegawai negeri sipil
alumni-053b8c5fc8b1,politikus
alumni-0587d398eb70,Author
alumni-0587d398eb70,screenwriter
alumni-05a4239b905e,pegawai negeri sipil
alumni-05a4239b905e,politikus
alumni-0661995af4a7,Businessman
alumni-06df0f1cc57f,diplomat
alumni-06df0f1cc57f,dosen
alumni-06df0f1cc57f,pengacara
alumni-06df0f1cc57f,politikus
alumni-0728fbf218aa,Politician
alumni-075bbc6416c5,profesor
alumni-07faece1e144,Civil servant
alumni-07faece1e144,Civil service
alumni-07faece1e144,Politician
alumni-081e63e1fba6,Lecturer
alumni-081e63e1fba6,Painter
alumni-08b01f31e41d,Celebrity
alumni-08b01f31e41d,YouTuber
alumni-08b01f31e41d,model
alumni-08b01f31e41d,presenter
alumni-08d18f2cae64,akademisi
alumni-09d94215f57d,pegawai negeri sipil
alumni-09fb054c5c34,Academician
alumni-09fb054c5c34,Engineer
alumni-09fb054c5c34,Politician
alumni-09fb054c5c34,Researcher
alumni-0a9188856cce,Politician
alumni-0a9188856cce,historian
alumni-0a9e52cb7436,Diplomat
alumni-0aca5853a695,Theologian
alumni-0b6429a638f8,Politician
alumni-0ba39aa123d8,Businessperson
alumni-0ba39aa123d8,Politician
alumni-0c0c736684a0,Politician
alumni-0c55e8e6a8e7,Director of Puteri Indonesia
alumni-0c55e8e6a8e7,Puteri Indonesia
