alumniId,positionName
alumni-006856c9ad60,Rektor
alumni-021d5d751dd0,anggota DPR-RI
alumni-041729be581d,Gubernur Gorontalo
alumni-04623bbef7f7,Rector
alumni-04b0cfbdd58a,Chief
alumni-04b0cfbdd58a,Commander
alumni-04b0cfbdd58a,Coordinating Ministry for Political and Security Affairs
alumni-04b0cfbdd58a,Deputy commander
alumni-04b15a7198a3,First ladies and gentlemen
alumni-04b15a7198a3,Second ladies and gentlemen
alumni-04b15a7198a3,Speakers
alumni-051aa9fcab32,Rektor
alumni-053b8c5fc8b1,anggota DPR-RI
alumni-055afc9614d2,Rector
alumni-05a4239b905e,Bupati Ciamis
alumni-05cad96ba7bd,Chief
alumni-05cad96ba7bd,Commander
alumni-06df0f1cc57f,Menteri Hukum dan Hak Asasi Manusia Republik Indonesia
alumni-06df0f1cc57f,Menteri Luar Negeri
alumni-075bbc6416c5,rektor
alumni-08b01f31e41d,2011
alumni-08b01f31e41d,2011 Puteri Indonesia Sumatera Utara
alumni-08b01f31e41d,3
alumni-08b01f31e41d,3rd Runner Up Puteri Indonesia 2011
alumni-08d18f2cae64,Rektor
alumni-09d94215f57d,Sekretaris Daerah Provinsi Jawa Barat
alumni-09fb054c5c34,Governor
alumni-0a2a727070ad,Governor
alumni-0a9e52cb7436,Ambassador
alumni-0bd7552d9237,Bangli regency regional house
alumni-0bd7552d9237,Vice regents
alumni-1044c2227a7f,Miss Universe 2007
alumni-1044c2227a7f,Miss Universe Indonesia 2007
alumni-1044c2227a7f,Puteri Central Java
alumni-1044c2227a7f,Puteri Indonesia
alumni-1044c2227a7f,Puteri Indonesia 2006
alumni-123e7513ddb2,Miss Universe Indonesia 2008
alumni-123e7513ddb2,Puteri East Java
alumni-123e7513ddb2,Puteri Indonesia
alumni-123e7513ddb2,Puteri Indonesia 2007
alumni-13a4921f0821,"Wawancara Karlina Leksono: ""Kita Sudah Terlalu Lama Diam"""
alumni-166a96330676,Wakil Menteri Dalam Negeri Indonesia
alumni-17b5a331c971,Coordinating Ministry for Political and Security Affairs
alumni-17b5a331c971,Deputy speakers
alumni-17b5a331c971,Head
alumni-17b5a331c971,Minister
alumni-17e604a607cf,Coordinating Minister for Human Development and Cultural Affairs
alumni-17e604a607cf,Menteri Pendidikan Dasar dan Kebudayaan Indonesia
alumni-18223247106a,Rektor
alumni-18223247106a,rektor
alumni-18e7b47f0a53,asisten ahli
alumni-196ea66f1415,rektor
alumni-199b2d8f27e8,Governor
alumni-19febd99226d,Chairman
alumni-19febd99226d,Speaker
alumni-1a72692aa562,Wali Kota Sawahlunto
alumni-1b2a1226c18e,Duta Besar Indonesia untuk Belanda
alumni-1be3396d3afa,anggota DPR-RI
alumni-1c4c0db2dcf3,Leader
alumni-1c6cba41b5cd,State minister
alumni-1e5bec94c415,anggota DPR-RI
alumni-1e5bec94c415,anggota Dewan Perwakilan Rakyat Daerah Indonesia
alumni-1f76a7625fdc,duta besar
alumni-20a2e6107bf4,Ambassador
alumni-2183d001692f,Chief
alumni-2183d001692f,Commander
alumni-2183d001692f,Minister
alumni-2346f8828376,Menteri Keuangan
alumni-238557529084,Miss Universe Indonesia 2016
alumni-238557529084,Puteri Indonesia
alumni-238557529084,Puteri Indonesia 2016
alumni-238557529084,Puteri North Sulawesi
alumni-238557529084,Puteri Sulawesi Utara 2016
alumni-243719d950a3,Flagbearer for
alumni-266cec9f4e4b,Rektor
alumni-27675cd05ce1,Rector
alumni-27e5e7188911,Miss Universe Indonesia 2015
alumni-27e5e7188911,Puteri Central Java
alumni-27e5e7188911,Puteri Indonesia
alumni-27e5e7188911,Puteri Indonesia 2015
alumni-2802f511b268,Miss Supranational Indonesia 2014
alumni-2802f511b268,Puteri Indonesia
alumni-2802f511b268,Puteri Indonesia 2014
alumni-2802f511b268,Puteri Indonesia Pariwisata 2014
alumni-2802f511b268,Puteri Yogyakarta
alumni-280bf6b3dd11,*Miss Earth Indonesia 2021
alumni-280bf6b3dd11,List of Miss Indonesia Earth
alumni-280bf6b3dd11,Luisa Andrea Soemitha
alumni-280bf6b3dd11,Miss Earth Indonesia
alumni-28fe3bdb1d7a,Miss Supranational 2016
alumni-28fe3bdb1d7a,Miss Supranational Indonesia 2016
alumni-28fe3bdb1d7a,Puteri Indonesia 2016
alumni-28fe3bdb1d7a,Puteri Indonesia Pariwisata
alumni-28fe3bdb1d7a,Puteri Indonesia Pariwisata 2016
alumni-28fe3bdb1d7a,Puteri West Sumatra
alumni-2af1a9ed18c4,dekan
alumni-2cf5af3f0d06,Bank Indonesia
alumni-2d693af6c63a,Rektor
alumni-2dda5bdcd03c,Governor
alumni-2dda5bdcd03c,Minister
alumni-30779f3c2dea,Miss Universe Indonesia 2005
alumni-30779f3c2dea,Puteri Bangka Belitung
alumni-30779f3c2dea,Puteri Indonesia
alumni-30779f3c2dea,Puteri Indonesia 2004
alumni-31d687141c11,Minister for Youth and Sports Affairs
alumni-32412a2b0068,Rector
alumni-327e2af9bbbb,dekan
alumni-32a97efea573,Rektor
alumni-337b65caa579,anggota Dewan Perwakilan Rakyat Daerah Indonesia
alumni-33b4342db79e,wakil rektor
alumni-33ca3b6f5e38,Prime minister
alumni-34ae2ae8c386,Governor
alumni-34b0eddf0b25,Menteri Lingkungan Hidup dan Kehutanan Indonesia
alumni-34eb14f042b3,Chief justice
alumni-34eb14f042b3,Deputy chief justice
alumni-34f4d2216bc6,Governor
alumni-34f4d2216bc6,Ministry
alumni-34f4d2216bc6,Vice governor
alumni-35235fdb7705,Rektor
alumni-3542d9dc80be,Rektor
alumni-356b83fb34d5,Puteri Indonesia
alumni-356b83fb34d5,Puteri Indonesia 1996-1999
alumni-356b83fb34d5,Puteri Jakarta SCR 1
alumni-36aa15127964,Dosen
alumni-39921bdb5818,Ketua
alumni-39ee0c8c42e5,Coordinating Ministry for Human Development and Cultural Affairs
alumni-39ee0c8c42e5,Speaker
alumni-3d6214293322,dekan
alumni-3d88ec4ed6f4,9
alumni-3da2a5e0a7f9,Rektor
alumni-3e2f7926dcbf,direktur utama
alumni-3e3a64de8ea2,"CEO, Bukalapak"
alumni-3e3a64de8ea2,"CEO, Bukalapak (2010–2020)"
alumni-3f093c5677f7,Ministry
alumni-4129f61d238d,Chief justice
alumni-4129f61d238d,Deputy chief justice
alumni-441421be210d,Miss Asia Pacific World
alumni-441421be210d,Miss Asia Pacific World 2012
alumni-441421be210d,Puteri Indonesia
alumni-441421be210d,Puteri Indonesia 2011
alumni-441421be210d,Puteri Indonesia Pariwisata 2011
alumni-441421be210d,Puteri South Sulawesi
alumni-46c45b0d143b,Minister
alumni-4741ecd91b8c,Chairman
alumni-4741ecd91b8c,Coordinating Minister for People's Welfare
alumni-4741ecd91b8c,Coordinating Minister for the Economy
alumni-4741ecd91b8c,Leader
alumni-4741ecd91b8c,President
alumni-48a10644f79d,Speaker
alumni-48b89dad4270,Permanent representative
alumni-48e376370d94,Chief justice
alumni-48e376370d94,Deputy chief justice
alumni-48f8f397a347,Miss Universe Indonesia
alumni-48f8f397a347,Puteri Indonesia
alumni-48f8f397a347,Puteri Indonesia 1995
alumni-48f8f397a347,Puteri Indonesia 1995(Miss Universe Indonesia 1995)
alumni-48f8f397a347,Puteri Maluku
alumni-491695aafed9,Beauty with a Purpose
alumni-491695aafed9,Julia Morley
alumni-491695aafed9,Miss Indonesia
alumni-491695aafed9,Miss Indonesia 2015
alumni-491695aafed9,Miss World 2015
alumni-491695aafed9,Miss world continental queen
alumni-4a1297e6efe4,dekan
alumni-4b360b7d2eee,Dewan Direksi
alumni-4b360b7d2eee,Majelis Wali Amanat Universitas Indonesia Periode 2019-2024
alumni-4b360b7d2eee,Majelis wali amanat periode 2019-2024
alumni-4b360b7d2eee,Menteri Keuangan
alumni-4b360b7d2eee,Menteri Perencanaan Pembangunan Nasional Indonesia
alumni-4b360b7d2eee,direktur
alumni-4b708c13c8a0,Ministry
alumni-4d20bd81006f,Prime minister
alumni-4dd4a931eeaf,Gianyar Regency
alumni-4dd4a931eeaf,Regent
alumni-4e2395cd8e69,Daftar Ketua Mahkamah Konstitusi Indonesia
alumni-4e2395cd8e69,Menteri Hukum dan Hak Asasi Manusia Republik Indonesia
alumni-4e2395cd8e69,Menteri Koordinator Bidang Politik dan Keamanan
alumni-4e2395cd8e69,Menteri Pendayagunaan Aparatur Negara dan Reformasi Birokrasi
alumni-4e2395cd8e69,Menteri Pertahanan
alumni-4fe05587c883,Duta Besar Indonesia untuk Senegal
alumni-5038bcac7dd7,Majelis wali amanat periode 2019-2024
alumni-5038bcac7dd7,Rektor
alumni-50a203d9a42e,Articles related to Prabowo Subianto
alumni-50a203d9a42e,Commander
alumni-50a203d9a42e,For president
alumni-50a203d9a42e,For vice president
alumni-50a203d9a42e,General chairman
alumni-50a203d9a42e,Gerindra Party nominee
alumni-50a203d9a42e,Kopassus
alumni-50a203d9a42e,Minister
alumni-50a203d9a42e,President
alumni-519482c7beb2,Commander
alumni-519482c7beb2,Coordinating Ministry for Political and Security Affairs
alumni-530855e97407,full professor
alumni-54cc58610ca2,direktur utama
alumni-55c1543f62f1,Menteri Kesehatan Indonesia
alumni-563751bc1afd,Rector
