alumniId,universityName
alumni-006856c9ad60,Institut Teknologi Bandung
alumni-00a4de90ddae,Alauddin Islamic State University
alumni-0175d039c625,Institut Teknologi Bandung
alumni-01c63a7f7709,Diponegoro University
alumni-021d5d751dd0,Universitas Lambung Mangkurat
alumni-022376111982,BINUS University
alumni-0337f4fec5ad,State University of Jakarta
alumni-03630a75eb3e,Swiss German University
alumni-03dff1a884e0,Universitas Gadjah Mada
alumni-03f4e899428d,University of North Sumatra
alumni-041729be581d,Universitas Sam Ratulangi
alumni-04623bbef7f7,Universitas Islam Negeri Syarif Hidayatullah Jakarta
alumni-04b0cfbdd58a,Indonesian Naval Academy
alumni-04b15a7198a3,Sriwijaya University
alumni-051aa9fcab32,Universitas Andalas
alumni-053b8c5fc8b1,Universitas Indonesia
alumni-055a9bfafc20,Institut Teknologi Sepuluh Nopember
alumni-055afc9614d2,Hasanuddin University
alumni-057b2df8d05c,Universitas Gadjah Mada
alumni-0587d398eb70,Universitas Gadjah Mada
alumni-05a4239b905e,Universitas Pasundan
alumni-05cad96ba7bd,Indonesian Military Academy
alumni-062abb5e7854,Lampung University
alumni-0661995af4a7,IPB University
alumni-06df0f1cc57f,Universitas Padjadjaran
alumni-070fccccad1d,Mulawarman University
alumni-0728fbf218aa,Udayana University
alumni-075bbc6416c5,Universitas Gadjah Mada
alumni-07faece1e144,Universitas Gadjah Mada
alumni-0803dcaa1add,Syiah Kuala University
alumni-081e63e1fba6,Institut Teknologi Bandung
alumni-08b01f31e41d,Trisakti University
alumni-08d18f2cae64,Institut Teknologi Bandung
alumni-09caa2a0ae01,University of Lampung
alumni-09d94215f57d,Universitas Padjadjaran
alumni-09fb054c5c34,State University of Jakarta
alumni-0a2a727070ad,Universitas Gadjah Mada
alumni-0a8253ff23dd,Brawijaya University
alumni-0a9188856cce,Diponegoro University
alumni-0a9e52cb7436,Indonesian Naval Academy
alumni-0aca5853a695,Nommensen HKBP University
alumni-0ae2e9c85e44,University of Mataram
alumni-0b0a492bcbb4,Universitas Gadjah Mada
alumni-0b6429a638f8,Lambung Mangkurat University
alumni-0ba39aa123d8,Institut Teknologi Bandung
alumni-0bc6e2cc8333,University of Jember
alumni-0bd7552d9237,Udayana University
