name,normalizedName,source
Airlangga University,airlangga university,https://github.com/burhansa25/graph
Alauddin Islamic State University,alauddin islamic state university,https://github.com/burhansa25/graph
Andalas University,andalas university,https://github.com/burhansa25/graph
Atma Jaya Catholic University of Indonesia,atma jaya catholic university of indonesia,https://github.com/burhansa25/graph
"Atma Jaya University, Yogyakarta","atma jaya university, yogyakarta",https://github.com/burhansa25/graph
Bandung Islamic University,bandung islamic university,https://github.com/burhansa25/graph
BINUS University,binus university,https://github.com/burhansa25/graph
Brawijaya University,brawijaya university,https://github.com/burhansa25/graph
Christian University of Indonesia,christian university of indonesia,https://github.com/burhansa25/graph
Diponegoro University,diponegoro university,https://github.com/burhansa25/graph
Esa Unggul University,esa unggul university,https://github.com/burhansa25/graph
Geophysical Engineering Department of Unila,geophysical engineering department of unila,https://github.com/burhansa25/graph
Gunadarma University,gunadarma university,https://github.com/burhansa25/graph
Hasanuddin University,hasanuddin university,https://github.com/burhansa25/graph
Indonesia Institute of the Arts Yogyakarta,indonesia institute of the arts yogyakarta,https://github.com/burhansa25/graph
Indonesia Open University,indonesia open university,https://github.com/burhansa25/graph
Indonesia University of Education,indonesia university of education,https://github.com/burhansa25/graph
Indonesian Air Force Academy,indonesian air force academy,https://github.com/burhansa25/graph
Indonesian Military Academy,indonesian military academy,https://github.com/burhansa25/graph
Indonesian Naval Academy,indonesian naval academy,https://github.com/burhansa25/graph
Indonesian State College of Accountancy,indonesian state college of accountancy,https://github.com/burhansa25/graph
Institut Pertanian Bogor,institut pertanian bogor,https://github.com/burhansa25/graph
Institut Teknologi Bandung,institut teknologi bandung,https://github.com/burhansa25/graph
Institut Teknologi Sepuluh Nopember,institut teknologi sepuluh nopember,https://github.com/burhansa25/graph
IPB University,ipb university,https://github.com/burhansa25/graph
Jakarta Theological Seminary,jakarta theological seminary,https://github.com/burhansa25/graph
Lambung Mangkurat University,lambung mangkurat university,https://github.com/burhansa25/graph
Lampung University,lampung university,https://github.com/burhansa25/graph
Maranatha Christian University,maranatha christian university,https://github.com/burhansa25/graph
Maulana Malik Ibrahim State Islamic University Malang,maulana malik ibrahim state islamic university malang,https://github.com/burhansa25/graph
Mercu Buana University,mercu buana university,https://github.com/burhansa25/graph
Methodist University of Indonesia,methodist university of indonesia,https://github.com/burhansa25/graph
Muhammadiyah University of Surakarta,muhammadiyah university of surakarta,https://github.com/burhansa25/graph
Muhammadiyah University of Yogyakarta,muhammadiyah university of yogyakarta,https://github.com/burhansa25/graph
Mulawarman University,mulawarman university,https://github.com/burhansa25/graph
Multimedia Nusantara University,multimedia nusantara university,https://github.com/burhansa25/graph
National University (Indonesia),national university (indonesia),https://github.com/burhansa25/graph
Nommensen HKBP University,nommensen hkbp university,https://github.com/burhansa25/graph
Pancasila University,pancasila university,https://github.com/burhansa25/graph
Parahyangan Catholic University,parahyangan catholic university,https://github.com/burhansa25/graph
Perbanas Institute,perbanas institute,https://github.com/burhansa25/graph
Petra Christian University,petra christian university,https://github.com/burhansa25/graph
Sam Ratulangi University,sam ratulangi university,https://github.com/burhansa25/graph
Satya Wacana Christian University,satya wacana christian university,https://github.com/burhansa25/graph
